Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2019M04,"Apr. 2019",IN0001.08,"Minerals, ores and non-precious metals",139.89,,,6.20255,,,2.60378,,
2019M04,"Apr. 2019",IN0001.09,"Precious metals",108.57,,,-4.06468,,,-0.94882,,
2019M04,"Apr. 2019",IN0001.10,"Fuels",127.71,,,-1.88984,,,3.92221,,
2019M04,"Apr. 2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M04,"Apr. 2019",IN0001.05,"Tropical beverages and food",92.21,,,-5.96574,,,0.46851,,
2019M04,"Apr. 2019",IN0001.22,"All groups excl. fuels",109.7,,,-2.86878,,,0.49469,,
2019M04,"Apr. 2019",IN0001.23,"All groups excl. precious metals",122.49,,,-2.008,,,3.16685,,
2019M04,"Apr. 2019",IN0001.24,"All groups excl. precious metals and fuels",110.2,,,-2.33094,,,1.13803,,
2019M05,"May  2019",IN0001.20,"All groups",118.62,,,-7.49435,,,-1.83714,,
2019M05,"May  2019",IN0001.01,"All food",90.14,,,-10.96405,,,-1.6583,,
2019M05,"May  2019",IN0001.02,"Food",96.05,,,-5.06079,,,-0.73377,,
2019M05,"May  2019",IN0001.03,"Tropical beverages",78.46,,,-13.80863,,,0.21714,,
2019M05,"May  2019",IN0001.04,"Vegetable oilseeds and oils",86.52,,,-19.26845,,,-4.28145,,
2019M05,"May  2019",IN0001.06,"Agricultural raw materials",100.85,,,-3.66797,,,-0.65018,,
2019M05,"May  2019",IN0001.07,"Minerals, ores and metals",121.22,,,0.32277,,,-0.96405,,
2019M05,"May  2019",IN0001.08,"Minerals, ores and non-precious metals",137.98,,,3.14719,,,-1.36536,,
2019M05,"May  2019",IN0001.09,"Precious metals",107.97,,,-2.38676,,,-0.55264,,
2019M05,"May  2019",IN0001.10,"Fuels",124.9,,,-9.46651,,,-2.2003,,
2019M05,"May  2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M05,"May  2019",IN0001.05,"Tropical beverages and food",91.71,,,-7.05382,,,-0.54224,,
2019M05,"May  2019",IN0001.22,"All groups excl. fuels",108.45,,,-3.56571,,,-1.13947,,
2019M05,"May  2019",IN0001.23,"All groups excl. precious metals",120.06,,,-8.07044,,,-1.98384,,
2019M05,"May  2019",IN0001.24,"All groups excl. precious metals and fuels",108.66,,,-4.09532,,,-1.39746,,
2019M06,"June 2019",IN0001.20,"All groups",111.95,,,-11.94053,,,-5.623,,
2019M06,"June 2019",IN0001.01,"All food",93.35,,,-3.09353,,,3.56113,,
2019M06,"June 2019",IN0001.02,"Food",99.58,,,2.34327,,,3.67517,,
2019M06,"June 2019",IN0001.03,"Tropical beverages",81.71,,,-5.91825,,,4.14224,,
2019M06,"June 2019",IN0001.04,"Vegetable oilseeds and oils",89.13,,,-10.90564,,,3.01664,,
2019M06,"June 2019",IN0001.06,"Agricultural raw materials",100.12,,,-4.14552,,,-0.72385,,
2019M06,"June 2019",IN0001.07,"Minerals, ores and metals",125.91,,,4.28193,,,3.869,,
2019M06,"June 2019",IN0001.08,"Minerals, ores and non-precious metals",141.3,,,4.13442,,,2.40615,,
2019M06,"June 2019",IN0001.09,"Precious metals",113.75,,,4.43445,,,5.35334,,
2019M06,"June 2019",IN0001.10,"Fuels",111.85,,,-18.52418,,,-10.44836,,
2019M06,"June 2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M06,"June 2019",IN0001.05,"Tropical beverages and food",95.17,,,0.46448,,,3.77276,,
2019M06,"June 2019",IN0001.22,"All groups excl. fuels",112.1,,,1.28298,,,3.36561,,
2019M06,"June 2019",IN0001.23,"All groups excl. precious metals",111.7,,,-13.79843,,,-6.96319,,
2019M06,"June 2019",IN0001.24,"All groups excl. precious metals and fuels",111.36,,,-0.09868,,,2.48482,,
2019M07,"Jul. 2019",IN0001.20,"All groups",113.86,,,-8.72214,,,1.70612,,
2019M07,"Jul. 2019",IN0001.01,"All food",94.13,,,1.87229,,,0.83557,,
2019M07,"Jul. 2019",IN0001.02,"Food",100.01,,,7.4683,,,0.43181,,
2019M07,"Jul. 2019",IN0001.03,"Tropical beverages",81.94,,,-2.44077,,,0.28148,,
2019M07,"Jul. 2019",IN0001.04,"Vegetable oilseeds and oils",90.84,,,-5.41441,,,1.91855,,
2019M07,"Jul. 2019",IN0001.06,"Agricultural raw materials",98.67,,,-3.60492,,,-1.44826,,
2019M07,"Jul. 2019",IN0001.07,"Minerals, ores and metals",131.25,,,14.73905,,,4.24112,,
2019M07,"Jul. 2019",IN0001.08,"Minerals, ores and non-precious metals",147.56,,,16.89773,,,4.43029,,
2019M07,"Jul. 2019",IN0001.09,"Precious metals",118.36,,,12.68088,,,4.05275,,
2019M07,"Jul. 2019",IN0001.10,"Fuels",113.03,,,-17.22446,,,1.05498,,
2019M07,"Jul. 2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M07,"Jul. 2019",IN0001.05,"Tropical beverages and food",95.56,,,5.20753,,,0.40979,,
2019M07,"Jul. 2019",IN0001.22,"All groups excl. fuels",115.2,,,9.10124,,,2.76539,,
2019M07,"Jul. 2019",IN0001.23,"All groups excl. precious metals",113.26,,,-11.08494,,,1.3966,,
2019M07,"Jul. 2019",IN0001.24,"All groups excl. precious metals and fuels",113.78,,,7.51205,,,2.17313,,
2019M08,"Aug. 2019",IN0001.20,"All groups",108.83,,,-12.26217,,,-4.41771,,
2019M08,"Aug. 2019",IN0001.01,"All food",92.2,,,1.31868,,,-2.05036,,
2019M08,"Aug. 2019",IN0001.02,"Food",97.07,,,5.4994,,,-2.93971,,
2019M08,"Aug. 2019",IN0001.03,"Tropical beverages",78.21,,,-1.90643,,,-4.55211,,
2019M08,"Aug. 2019",IN0001.04,"Vegetable oilseeds and oils",91.68,,,-4.16057,,,0.9247,,
2019M08,"Aug. 2019",IN0001.06,"Agricultural raw materials",96.77,,,-5.97551,,,-1.92561,,
2019M08,"Aug. 2019",IN0001.07,"Minerals, ores and metals",128.97,,,14.99777,,,-1.73714,,
2019M08,"Aug. 2019",IN0001.08,"Minerals, ores and non-precious metals",133.19,,,6.27144,,,-9.73841,,
2019M08,"Aug. 2019",IN0001.09,"Precious metals",125.63,,,23.46929,,,6.14228,,
2019M08,"Aug. 2019",IN0001.10,"Fuels",106.21,,,-22.16196,,,-6.0338,,
2019M08,"Aug. 2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M08,"Aug. 2019",IN0001.05,"Tropical beverages and food",92.42,,,3.85437,,,-3.28589,,
2019M08,"Aug. 2019",IN0001.22,"All groups excl. fuels",113.08,,,8.82494,,,-1.84028,,
2019M08,"Aug. 2019",IN0001.23,"All groups excl. precious metals",106.57,,,-16.10643,,,-5.90676,,
2019M08,"Aug. 2019",IN0001.24,"All groups excl. precious metals and fuels",107.42,,,2.41205,,,-5.58973,,
2019M09,"Sep. 2019",IN0001.20,"All groups",112.52,,,-13.23257,,,3.39061,,
2019M09,"Sep. 2019",IN0001.01,"All food",92.26,,,3.63963,,,0.06508,,
2019M09,"Sep. 2019",IN0001.02,"Food",96.19,,,5.64525,,,-0.90656,,
2019M09,"Sep. 2019",IN0001.03,"Tropical beverages",80.5,,,3.51035,,,2.92801,,
2019M09,"Sep. 2019",IN0001.04,"Vegetable oilseeds and oils",92.12,,,0.23939,,,0.47993,,
2019M09,"Sep. 2019",IN0001.06,"Agricultural raw materials",96.7,,,-5.34456,,,-0.07234,,
2019M09,"Sep. 2019",IN0001.07,"Minerals, ores and metals",130.77,,,17.5355,,,1.39567,,
2019M09,"Sep. 2019",IN0001.08,"Minerals, ores and non-precious metals",135.06,,,8.90179,,,1.40401,,
2019M09,"Sep. 2019",IN0001.09,"Precious metals",127.39,,,25.90433,,,1.40094,,
2019M09,"Sep. 2019",IN0001.10,"Fuels",111.54,,,-23.78024,,,5.01836,,
2019M09,"Sep. 2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M09,"Sep. 2019",IN0001.05,"Tropical beverages and food",92.32,,,5.184,,,-0.1082,,
2019M09,"Sep. 2019",IN0001.22,"All groups excl. fuels",114.1,,,11.15441,,,0.90202,,
2019M09,"Sep. 2019",IN0001.23,"All groups excl. precious metals",110.52,,,-17.21348,,,3.70648,,
2019M09,"Sep. 2019",IN0001.24,"All groups excl. precious metals and fuels",108.11,,,4.64621,,,0.64234,,
2019M10,"Oct. 2019",IN0001.20,"All groups",109.78,,,-16.97799,,,-2.43512,,
2019M10,"Oct. 2019",IN0001.01,"All food",94.25,,,2.28999,,,2.15695,,
2019M10,"Oct. 2019",IN0001.02,"Food",98.28,,,4.11017,,,2.17278,,
2019M10,"Oct. 2019",IN0001.03,"Tropical beverages",81.06,,,-3.5,,,0.69565,,
2019M10,"Oct. 2019",IN0001.04,"Vegetable oilseeds and oils",94.73,,,2.01378,,,2.83326,,
2019M10,"Oct. 2019",IN0001.06,"Agricultural raw materials",96.27,,,-4.5414,,,-0.44467,,
2019M10,"Oct. 2019",IN0001.07,"Minerals, ores and metals",128.54,,,12.65557,,,-1.70528,,
2019M10,"Oct. 2019",IN0001.08,"Minerals, ores and non-precious metals",132.15,,,2.84847,,,-2.1546,,
2019M10,"Oct. 2019",IN0001.09,"Precious metals",125.69,,,22.34985,,,-1.33448,,
2019M10,"Oct. 2019",IN0001.10,"Fuels",107.48,,,-27.82217,,,-3.63995,,
2019M10,"Oct. 2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M10,"Oct. 2019",IN0001.05,"Tropical beverages and food",94.04,,,2.40662,,,1.86308,,
2019M10,"Oct. 2019",IN0001.22,"All groups excl. fuels",113.5,,,7.89999,,,-0.52585,,
2019M10,"Oct. 2019",IN0001.23,"All groups excl. precious metals",107.64,,,-20.96916,,,-2.60586,,
2019M10,"Oct. 2019",IN0001.24,"All groups excl. precious metals and fuels",108.01,,,1.61821,,,-0.0925,,
2019M11,"Nov. 2019",IN0001.20,"All groups",113.04,,,-5.71357,,,2.96958,,
2019M11,"Nov. 2019",IN0001.01,"All food",98.25,,,7.63585,,,4.24403,,
2019M11,"Nov. 2019",IN0001.02,"Food",102.64,,,9.9047,,,4.4363,,
2019M11,"Nov. 2019",IN0001.03,"Tropical beverages",87,,,3.46058,,,7.32791,,
2019M11,"Nov. 2019",IN0001.04,"Vegetable oilseeds and oils",97,,,5.79125,,,2.39628,,
2019M11,"Nov. 2019",IN0001.06,"Agricultural raw materials",96.51,,,-2.81945,,,0.2493,,
2019M11,"Nov. 2019",IN0001.07,"Minerals, ores and metals",125.59,,,10.39909,,,-2.29501,,
2019M11,"Nov. 2019",IN0001.08,"Minerals, ores and non-precious metals",128.11,,,0.66792,,,-3.05713,,
2019M11,"Nov. 2019",IN0001.09,"Precious metals",123.6,,,19.88361,,,-1.66282,,
2019M11,"Nov. 2019",IN0001.10,"Fuels",112.89,,,-12.71842,,,5.03349,,
2019M11,"Nov. 2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M11,"Nov. 2019",IN0001.05,"Tropical beverages and food",98.79,,,8.44127,,,5.05104,,
2019M11,"Nov. 2019",IN0001.22,"All groups excl. fuels",113.28,,,8.35007,,,-0.19383,,
2019M11,"Nov. 2019",IN0001.23,"All groups excl. precious metals",111.62,,,-8.61307,,,3.69751,,
2019M11,"Nov. 2019",IN0001.24,"All groups excl. precious metals and fuels",108.63,,,3.25064,,,0.57402,,
2019M12,"Dec. 2019",IN0001.20,"All groups",115.64,,,3.81542,,,2.30007,,
2019M12,"Dec. 2019",IN0001.01,"All food",101.62,,,11.03584,,,3.43003,,
2019M12,"Dec. 2019",IN0001.02,"Food",104.4,,,10.04533,,,1.71473,,
2019M12,"Dec. 2019",IN0001.03,"Tropical beverages",91.84,,,16.16494,,,5.56322,,
2019M12,"Dec. 2019",IN0001.04,"Vegetable oilseeds and oils",102.36,,,10.33739,,,5.52577,,
2019M12,"Dec. 2019",IN0001.06,"Agricultural raw materials",97.98,,,-1.9906,,,1.52316,,
2019M12,"Dec. 2019",IN0001.07,"Minerals, ores and metals",127.08,,,11.3272,,,1.1864,,
2019M12,"Dec. 2019",IN0001.08,"Minerals, ores and non-precious metals",130.84,,,4.18857,,,2.13098,,
2019M12,"Dec. 2019",IN0001.09,"Precious metals",124.12,,,18.07458,,,0.42071,,
2019M12,"Dec. 2019",IN0001.10,"Fuels",115.77,,,0.33801,,,2.55116,,
2019M12,"Dec. 2019",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2019M12,"Dec. 2019",IN0001.05,"Tropical beverages and food",101.3,,,11.35539,,,2.54074,,
2019M12,"Dec. 2019",IN0001.22,"All groups excl. fuels",115.42,,,10.00762,,,1.88912,,
2019M12,"Dec. 2019",IN0001.23,"All groups excl. precious metals",114.5,,,2.02263,,,2.58018,,
2019M12,"Dec. 2019",IN0001.24,"All groups excl. precious metals and fuels",111.51,,,6.38237,,,2.6512,,
2020M01,"Jan. 2020",IN0001.20,"All groups",114.23,,,2.00018,,,-1.2193,,
2020M01,"Jan. 2020",IN0001.01,"All food",102.19,,,10.24922,,,0.56091,,
2020M01,"Jan. 2020",IN0001.02,"Food",105.41,,,9.99687,,,0.96743,,
2020M01,"Jan. 2020",IN0001.03,"Tropical beverages",87.59,,,9.88584,,,-4.62761,,
2020M01,"Jan. 2020",IN0001.04,"Vegetable oilseeds and oils",104.91,,,10.87508,,,2.49121,,
2020M01,"Jan. 2020",IN0001.06,"Agricultural raw materials",99.21,,,-2.15976,,,1.25536,,
2020M01,"Jan. 2020",IN0001.07,"Minerals, ores and metals",131.72,,,13.08379,,,3.65124,,
2020M01,"Jan. 2020",IN0001.08,"Minerals, ores and non-precious metals",132.35,,,5.00635,,,1.15408,,
2020M01,"Jan. 2020",IN0001.09,"Precious metals",131.21,,,20.4535,,,5.71221,,
2020M01,"Jan. 2020",IN0001.10,"Fuels",111.72,,,-3.03767,,,-3.49832,,
2020M01,"Jan. 2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M01,"Jan. 2020",IN0001.05,"Tropical beverages and food",101.02,,,9.98367,,,-0.27641,,
2020M01,"Jan. 2020",IN0001.22,"All groups excl. fuels",118.31,,,10.81866,,,2.5039,,
2020M01,"Jan. 2020",IN0001.23,"All groups excl. precious metals",111.95,,,-0.40036,,,-2.22707,,
2020M01,"Jan. 2020",IN0001.24,"All groups excl. precious metals and fuels",112.51,,,6.36226,,,0.89678,,
2020M02,"Feb. 2020",IN0001.20,"All groups",104.45,,,-9.9569,,,-8.56167,,
2020M02,"Feb. 2020",IN0001.01,"All food",99.71,,,7.50404,,,-2.42685,,
2020M02,"Feb. 2020",IN0001.02,"Food",104.68,,,9.2351,,,-0.69253,,
2020M02,"Feb. 2020",IN0001.03,"Tropical beverages",86.09,,,8.30293,,,-1.71252,,
2020M02,"Feb. 2020",IN0001.04,"Vegetable oilseeds and oils",98.81,,,4.0653,,,-5.81451,,
2020M02,"Feb. 2020",IN0001.06,"Agricultural raw materials",97.2,,,-3.514,,,-2.02601,,
2020M02,"Feb. 2020",IN0001.07,"Minerals, ores and metals",129.79,,,6.55993,,,-1.46523,,
2020M02,"Feb. 2020",IN0001.08,"Minerals, ores and non-precious metals",124.67,,,-7.78164,,,-5.8028,,
2020M02,"Feb. 2020",IN0001.09,"Precious metals",133.83,,,20.32908,,,1.9968,,
2020M02,"Feb. 2020",IN0001.10,"Fuels",97.22,,,-18.91576,,,-12.97888,,
2020M02,"Feb. 2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M02,"Feb. 2020",IN0001.05,"Tropical beverages and food",100.1,,,9.04139,,,-0.91071,,
2020M02,"Feb. 2020",IN0001.22,"All groups excl. fuels",116.18,,,5.93599,,,-1.80035,,
2020M02,"Feb. 2020",IN0001.23,"All groups excl. precious metals",100.51,,,-13.82888,,,-10.21885,,
2020M02,"Feb. 2020",IN0001.24,"All groups excl. precious metals and fuels",108.24,,,-0.66991,,,-3.79522,,
2020M03,"Mar. 2020",IN0001.20,"All groups",83.25,,,-29.23927,,,-20.29679,,
2020M03,"Mar. 2020",IN0001.01,"All food",95.91,,,4.46574,,,-3.81105,,
2020M03,"Mar. 2020",IN0001.02,"Food",99.52,,,3.2151,,,-4.92931,,
2020M03,"Mar. 2020",IN0001.03,"Tropical beverages",87.21,,,12.38402,,,1.30096,,
2020M03,"Mar. 2020",IN0001.04,"Vegetable oilseeds and oils",94.59,,,2.96071,,,-4.27082,,
2020M03,"Mar. 2020",IN0001.06,"Agricultural raw materials",94.58,,,-6.48606,,,-2.69547,,
2020M03,"Mar. 2020",IN0001.07,"Minerals, ores and metals",126.58,,,4.2583,,,-2.47323,,
2020M03,"Mar. 2020",IN0001.08,"Minerals, ores and non-precious metals",120.81,,,-11.39064,,,-3.09617,,
2020M03,"Mar. 2020",IN0001.09,"Precious metals",131.15,,,19.65149,,,-2.00254,,
2020M03,"Mar. 2020",IN0001.10,"Fuels",65,,,-47.10717,,,-33.14133,,
2020M03,"Mar. 2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M03,"Mar. 2020",IN0001.05,"Tropical beverages and food",96.49,,,5.13184,,,-3.60639,,
2020M03,"Mar. 2020",IN0001.22,"All groups excl. fuels",112.83,,,3.36204,,,-2.88346,,
2020M03,"Mar. 2020",IN0001.23,"All groups excl. precious metals",76.81,,,-35.307,,,-23.57974,,
2020M03,"Mar. 2020",IN0001.24,"All groups excl. precious metals and fuels",104.58,,,-4.01982,,,-3.38137,,
2020M04,"Apr. 2020",IN0001.20,"All groups",73.48,,,-39.19232,,,-11.73574,,
2020M04,"Apr. 2020",IN0001.01,"All food",94.06,,,2.61837,,,-1.92889,,
2020M04,"Apr. 2020",IN0001.02,"Food",98.18,,,1.46755,,,-1.34646,,
2020M04,"Apr. 2020",IN0001.03,"Tropical beverages",86.83,,,10.90816,,,-0.43573,,
2020M04,"Apr. 2020",IN0001.04,"Vegetable oilseeds and oils",91.01,,,0.68592,,,-3.78476,,
2020M04,"Apr. 2020",IN0001.06,"Agricultural raw materials",90.66,,,-10.6886,,,-4.14464,,
2020M04,"Apr. 2020",IN0001.07,"Minerals, ores and metals",128.76,,,5.19608,,,1.72223,,
2020M04,"Apr. 2020",IN0001.08,"Minerals, ores and non-precious metals",116.92,,,-16.42004,,,-3.21993,,
2020M04,"Apr. 2020",IN0001.09,"Precious metals",138.12,,,27.21746,,,5.31453,,
2020M04,"Apr. 2020",IN0001.10,"Fuels",49.1,,,-61.55352,,,-24.46154,,
2020M04,"Apr. 2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M04,"Apr. 2020",IN0001.05,"Tropical beverages and food",95.38,,,3.43781,,,-1.15038,,
2020M04,"Apr. 2020",IN0001.22,"All groups excl. fuels",113.02,,,3.02644,,,0.16839,,
2020M04,"Apr. 2020",IN0001.23,"All groups excl. precious metals",64.8,,,-47.09772,,,-15.63598,,
2020M04,"Apr. 2020",IN0001.24,"All groups excl. precious metals and fuels",101.72,,,-7.6951,,,-2.73475,,
2020M05,"May  2020",IN0001.20,"All groups",81.09,,,-31.63885,,,10.35656,,
2020M05,"May  2020",IN0001.01,"All food",92.75,,,2.8955,,,-1.39273,,
2020M05,"May  2020",IN0001.02,"Food",97.62,,,1.63457,,,-0.57038,,
2020M05,"May  2020",IN0001.03,"Tropical beverages",83,,,5.78639,,,-4.41092,,
2020M05,"May  2020",IN0001.04,"Vegetable oilseeds and oils",89.83,,,3.82571,,,-1.29656,,
2020M05,"May  2020",IN0001.06,"Agricultural raw materials",90.48,,,-10.2826,,,-0.19854,,
2020M05,"May  2020",IN0001.07,"Minerals, ores and metals",133.64,,,10.24583,,,3.79,,
2020M05,"May  2020",IN0001.08,"Minerals, ores and non-precious metals",123.8,,,-10.27685,,,5.88437,,
2020M05,"May  2020",IN0001.09,"Precious metals",141.42,,,30.98083,,,2.38923,,
2020M05,"May  2020",IN0001.10,"Fuels",60.02,,,-51.94556,,,22.24033,,
2020M05,"May  2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M05,"May  2020",IN0001.05,"Tropical beverages and food",94.01,,,2.50791,,,-1.43636,,
2020M05,"May  2020",IN0001.22,"All groups excl. fuels",115.26,,,6.27939,,,1.98195,,
2020M05,"May  2020",IN0001.23,"All groups excl. precious metals",72.99,,,-39.2054,,,12.63889,,
2020M05,"May  2020",IN0001.24,"All groups excl. precious metals and fuels",103.48,,,-4.76716,,,1.73024,,
2020M06,"June 2020",IN0001.20,"All groups",90.25,,,-19.38365,,,11.29609,,
2020M06,"June 2020",IN0001.01,"All food",95.17,,,1.94965,,,2.60916,,
2020M06,"June 2020",IN0001.02,"Food",100.57,,,0.99418,,,3.02192,,
2020M06,"June 2020",IN0001.03,"Tropical beverages",78.53,,,-3.89181,,,-5.38554,,
2020M06,"June 2020",IN0001.04,"Vegetable oilseeds and oils",95.25,,,6.86637,,,6.03362,,
2020M06,"June 2020",IN0001.06,"Agricultural raw materials",92.23,,,-7.88054,,,1.93413,,
2020M06,"June 2020",IN0001.07,"Minerals, ores and metals",138.83,,,10.2613,,,3.88357,,
2020M06,"June 2020",IN0001.08,"Minerals, ores and non-precious metals",133.01,,,-5.86695,,,7.43942,,
2020M06,"June 2020",IN0001.09,"Precious metals",143.43,,,26.09231,,,1.4213,,
2020M06,"June 2020",IN0001.10,"Fuels",72.42,,,-35.25257,,,20.65978,,
2020M06,"June 2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M06,"June 2020",IN0001.05,"Tropical beverages and food",95.14,,,-0.03152,,,1.202,,
2020M06,"June 2020",IN0001.22,"All groups excl. fuels",119.15,,,6.28903,,,3.37498,,
2020M06,"June 2020",IN0001.23,"All groups excl. precious metals",83.1,,,-25.6043,,,13.85121,,
2020M06,"June 2020",IN0001.24,"All groups excl. precious metals and fuels",108.22,,,-2.81968,,,4.5806,,
2020M07,"Jul. 2020",IN0001.20,"All groups",94.57,,,-16.94186,,,4.7867,,
2020M07,"Jul. 2020",IN0001.01,"All food",95.5,,,1.45543,,,0.34675,,
2020M07,"Jul. 2020",IN0001.02,"Food",98.5,,,-1.50985,,,-2.05827,,
2020M07,"Jul. 2020",IN0001.03,"Tropical beverages",79.97,,,-2.4042,,,1.83369,,
2020M07,"Jul. 2020",IN0001.04,"Vegetable oilseeds and oils",99.12,,,9.11493,,,4.06299,,
2020M07,"Jul. 2020",IN0001.06,"Agricultural raw materials",92.64,,,-6.11128,,,0.44454,,
2020M07,"Jul. 2020",IN0001.07,"Minerals, ores and metals",147.99,,,12.75429,,,6.598,,
2020M07,"Jul. 2020",IN0001.08,"Minerals, ores and non-precious metals",141.08,,,-4.39143,,,6.06721,,
2020M07,"Jul. 2020",IN0001.09,"Precious metals",153.45,,,29.64684,,,6.98599,,
2020M07,"Jul. 2020",IN0001.10,"Fuels",76.18,,,-32.60196,,,5.19194,,
2020M07,"Jul. 2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M07,"Jul. 2020",IN0001.05,"Tropical beverages and food",93.93,,,-1.70573,,,-1.27181,,
2020M07,"Jul. 2020",IN0001.22,"All groups excl. fuels",124.4,,,7.98611,,,4.40621,,
2020M07,"Jul. 2020",IN0001.23,"All groups excl. precious metals",86.66,,,-23.48578,,,4.284,,
2020M07,"Jul. 2020",IN0001.24,"All groups excl. precious metals and fuels",111.32,,,-2.16207,,,2.86454,,
2020M08,"Aug. 2020",IN0001.20,"All groups",100.38,,,-7.7644,,,6.1436,,
2020M08,"Aug. 2020",IN0001.01,"All food",99.04,,,7.41866,,,3.70681,,
2020M08,"Aug. 2020",IN0001.02,"Food",100.64,,,3.67776,,,2.17259,,
2020M08,"Aug. 2020",IN0001.03,"Tropical beverages",87.8,,,12.26186,,,9.79117,,
2020M08,"Aug. 2020",IN0001.04,"Vegetable oilseeds and oils",102.66,,,11.97644,,,3.57143,,
2020M08,"Aug. 2020",IN0001.06,"Agricultural raw materials",95.41,,,-1.40539,,,2.99007,,
2020M08,"Aug. 2020",IN0001.07,"Minerals, ores and metals",159.11,,,23.36978,,,7.51402,,
2020M08,"Aug. 2020",IN0001.08,"Minerals, ores and non-precious metals",149.9,,,12.54599,,,6.25177,,
2020M08,"Aug. 2020",IN0001.09,"Precious metals",166.38,,,32.43652,,,8.4262,,
2020M08,"Aug. 2020",IN0001.10,"Fuels",80.84,,,-23.88664,,,6.11709,,
2020M08,"Aug. 2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M08,"Aug. 2020",IN0001.05,"Tropical beverages and food",97.48,,,5.47501,,,3.77941,,
2020M08,"Aug. 2020",IN0001.22,"All groups excl. fuels",132.08,,,16.80226,,,6.17363,,
2020M08,"Aug. 2020",IN0001.23,"All groups excl. precious metals",91.52,,,-14.12217,,,5.60812,,
2020M08,"Aug. 2020",IN0001.24,"All groups excl. precious metals and fuels",116.63,,,8.57382,,,4.77003,,
2020M09,"Sep. 2020",IN0001.20,"All groups",98,,,-12.90437,,,-2.37099,,
2020M09,"Sep. 2020",IN0001.01,"All food",101.95,,,10.50293,,,2.93821,,
2020M09,"Sep. 2020",IN0001.02,"Food",100.96,,,4.95894,,,0.31797,,
2020M09,"Sep. 2020",IN0001.03,"Tropical beverages",89.34,,,10.98137,,,1.75399,,
2020M09,"Sep. 2020",IN0001.04,"Vegetable oilseeds and oils",110.85,,,20.33218,,,7.97779,,
2020M09,"Sep. 2020",IN0001.06,"Agricultural raw materials",97.97,,,1.31334,,,2.68316,,
2020M09,"Sep. 2020",IN0001.07,"Minerals, ores and metals",158.12,,,20.91458,,,-0.62221,,
2020M09,"Sep. 2020",IN0001.08,"Minerals, ores and non-precious metals",153.07,,,13.33481,,,2.11474,,
2020M09,"Sep. 2020",IN0001.09,"Precious metals",162.11,,,27.25489,,,-2.56641,,
2020M09,"Sep. 2020",IN0001.10,"Fuels",76.55,,,-31.36991,,,-5.30678,,
2020M09,"Sep. 2020",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2020M09,"Sep. 2020",IN0001.05,"Tropical beverages and food",98.1,,,6.26083,,,0.63603,,
2020M09,"Sep. 2020",IN0001.22,"All groups excl. fuels",132.79,,,16.38037,,,0.53755,,
2020M09,"Sep. 2020",IN0001.23,"All groups excl. precious metals",89.39,,,-19.11871,,,-2.32736,,
2020M09,"Sep. 2020",IN0001.24,"All groups excl. precious metals and fuels",119.58,,,10.60956,,,2.52937,,
2020M10,"Oct. 2020",IN0001.20,"All groups",98.48,,,-10.29331,,,0.4898,,
2020M10,"Oct. 2020",IN0001.01,"All food",103.34,,,9.64456,,,1.36341,,
2020M10,"Oct. 2020",IN0001.02,"Food",102.38,,,4.17175,,,1.4065,,
